Classifier,Sampler,Mean_F1,Mean_G-Mean,Mean_AUC
RandomForest,Original,0.7724218918336565,0.8088602546363515,0.9087499999999998
RandomForest,RandomOverSampler,0.7916279069767442,0.8552973993443673,0.9216287878787879
RandomForest,SMOTE,0.7906701494214132,0.874619252928043,0.9254166666666667
RandomForest,ADASYN,0.7522173913043477,0.8769387507304292,0.9250378787878788
RandomForest,Borderline-SMOTE,0.7702899678858028,0.8618798862241495,0.9298863636363637
RandomForest,DROS (Default),0.7953162856261838,0.8866646206402097,0.9285984848484847
SVM,Original,0.6895680060365968,0.7273675959920235,0.9491666666666667
SVM,RandomOverSampler,0.8089489681650935,0.8620345862188732,0.9361363636363637
SVM,SMOTE,0.8189637571785988,0.8635800124949219,0.9372727272727273
SVM,ADASYN,0.7964703640175339,0.8910287947134229,0.938409090909091
SVM,Borderline-SMOTE,0.7916247488567398,0.8626655937209635,0.9350757575757577
SVM,DROS (Default),0.7922635413367121,0.8704448703165335,0.9325000000000001
