K_Maj,cAngle,g,project1,Mean_F1
3,0.3,0.8,-0.8,0.8051481127568085
3,0.3,0.8,-0.766,0.7977474441074036
3,0.3,0.8,-0.5,0.8232536734416206
3,0.3,1.0,-0.8,0.8109207633171233
3,0.3,1.0,-0.766,0.8228792484111633
3,0.3,1.0,-0.5,0.8305502227241357
3,0.5,0.8,-0.8,0.820312661498708
3,0.5,0.8,-0.766,0.807476835221516
3,0.5,0.8,-0.5,0.821613949349141
3,0.5,1.0,-0.8,0.7865216455030377
3,0.5,1.0,-0.766,0.8146700662889377
3,0.5,1.0,-0.5,0.8208234967241179
3,0.7,0.8,-0.8,0.7984569952011813
3,0.7,0.8,-0.766,0.7997829457364342
3,0.7,0.8,-0.5,0.8054126570315285
3,0.7,1.0,-0.8,0.8021335172893828
3,0.7,1.0,-0.766,0.7816066252587992
3,0.7,1.0,-0.5,0.8114855293923606
5,0.3,0.8,-0.8,0.8209034877377281
5,0.3,0.8,-0.766,0.8233641728434561
5,0.3,0.8,-0.5,0.8311418611721949
5,0.3,1.0,-0.8,0.8074727464292086
5,0.3,1.0,-0.766,0.8069259992790869
5,0.3,1.0,-0.5,0.8109166549251385
5,0.5,0.8,-0.8,0.8059493605615844
5,0.5,0.8,-0.766,0.8088899196042053
5,0.5,0.8,-0.5,0.8487839484658147
5,0.5,1.0,-0.8,0.8064433284877317
5,0.5,1.0,-0.766,0.7840800399982609
5,0.5,1.0,-0.5,0.8265426149702225
5,0.7,0.8,-0.8,0.8193410852713179
5,0.7,0.8,-0.766,0.8327929285127904
5,0.7,0.8,-0.5,0.7918819749125924
5,0.7,1.0,-0.8,0.806793793625431
5,0.7,1.0,-0.766,0.7933798999883067
5,0.7,1.0,-0.5,0.7935088497186469
7,0.3,0.8,-0.8,0.784798418972332
7,0.3,0.8,-0.766,0.8011338085692831
7,0.3,0.8,-0.5,0.8119712441249348
7,0.3,1.0,-0.8,0.7834841374780708
7,0.3,1.0,-0.766,0.799365835110516
7,0.3,1.0,-0.5,0.7883816425120772
7,0.5,0.8,-0.8,0.8102527001834275
7,0.5,0.8,-0.766,0.8160249915569064
7,0.5,0.8,-0.5,0.809235173535025
7,0.5,1.0,-0.8,0.7854368530020703
7,0.5,1.0,-0.766,0.8171713314545102
7,0.5,1.0,-0.5,0.8089957398201744
7,0.7,0.8,-0.8,0.8116799221450386
7,0.7,0.8,-0.766,0.8164079419398569
7,0.7,0.8,-0.5,0.8046517774547377
7,0.7,1.0,-0.8,0.7763063640029413
7,0.7,1.0,-0.766,0.7942516027341572
7,0.7,1.0,-0.5,0.7983489330691627
9,0.3,0.8,-0.8,0.8229963791999847
9,0.3,0.8,-0.766,0.830495024931748
9,0.3,0.8,-0.5,0.8098772413468108
9,0.3,1.0,-0.8,0.7904631083202511
9,0.3,1.0,-0.766,0.7892923152497622
9,0.3,1.0,-0.5,0.8069402228976698
9,0.5,0.8,-0.8,0.8195919806798265
9,0.5,0.8,-0.766,0.8318785369220153
9,0.5,0.8,-0.5,0.7943850439945787
9,0.5,1.0,-0.8,0.7952970885323827
9,0.5,1.0,-0.766,0.7999441779680699
9,0.5,1.0,-0.5,0.8000598455917605
9,0.7,0.8,-0.8,0.8021750803554546
9,0.7,0.8,-0.766,0.7971633249988205
9,0.7,0.8,-0.5,0.8160972844422322
9,0.7,1.0,-0.8,0.7725978930630093
9,0.7,1.0,-0.766,0.7892857080790785
9,0.7,1.0,-0.5,0.792902097902098
